"recordtype","id","type","dc.identifier","dc.language","dc.source","isVersionOf","hasVersion","alternative","description","identifier","issued","dct.language","license","publisher","rightsHolder","spatial","title","rootResource","label","owl.versionInfo","contactPoint","dataset","accessRights","landingPage","servesDataset","page","accrualPeriodicity","temporal","distribution","theme","format","accessURL","compressFormat","downloadURL","mediaType","downloadLocation","packageFileName","packageName","versionInfo"
"CATALOG","omg_catalog:codelijst","dcat:Catalog",,,,,,,,,,,,,,,,,,,,"omg_dataset:codelijst-tektoniektype",,,,,,,,,,,,,,,,,
"DATASET","omg_dataset:codelijst-tektoniektype","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-tektoniektype","nl",,,,"Dataset codelijst tektoniektype","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-tektoniektype",,"language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst tektoniektype","omg_conceptscheme:tektoniektype","Codelijst tektoniektype",,"omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-tektoniektype.html","frequency:IRREG","omg_periodoftime:dataset_omg",,"datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DATASET","omg_dataset:codelijst-tektoniektype.0.1.0","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-tektoniektype.0.1.0","nl",,"omg_dataset:codelijst-tektoniektype",,"Dataset codelijst tektoniektype","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-tektoniektype.0.1.0","2024-01-02","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst tektoniektype","omg_conceptscheme:tektoniektype","Codelijst tektoniektype (0.1.0)","0.1.0","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-tektoniektype.0.1.0.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_csv|omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_jsonld|omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_rdf|omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_ttl|omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-tektoniektype.0.1.0","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype_csv",,,,,,"Codelijst tektoniektype, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_csv","2024-01-02",,,,"ovo:OVO003751",,"Codelijst tektoniektype in text/csv formaat.",,"Codelijst tektoniektype, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.0.tektoniektype_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype_jsonld",,,,,,"Codelijst tektoniektype, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_jsonld","2024-01-02",,,,"ovo:OVO003751",,"Codelijst tektoniektype in jsonld rdf-formaat.",,"Codelijst tektoniektype, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.0.tektoniektype_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype_rdf",,,,,,"Codelijst tektoniektype, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_rdf","2024-01-02",,,,"ovo:OVO003751",,"Codelijst tektoniektype in xml rdf-formaat.",,"Codelijst tektoniektype, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.0.tektoniektype_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype_ttl",,,,,,"Codelijst tektoniektype, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_ttl","2024-01-02",,,,"ovo:OVO003751",,"Codelijst tektoniektype in Turtle rdf-formaat.",,"Codelijst tektoniektype, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.0.tektoniektype_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
"V0.1.0-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_xsd","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype_xsd",,,,,,"Codelijst tektoniektype, geserialiseerd in een xsd bestand met een enumeratie.","omg_distribution:codelijst-tektoniektype.0.1.0.tektoniektype_xsd","2024-01-02",,,,"ovo:OVO003751",,"Codelijst tektoniektype in xml/xsd formaat.",,"Codelijst tektoniektype, in xml xsd-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.0.tektoniektype_xsd.html",,,,,"file_type:XSD","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.0.tektoniektype.xsd","https://www.iana.org/assignments/media-types/application/xml",,,,
"V0.1.0-PACKAGE","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-tektoniektype.0.1.0","dcat:Distribution|spdx:Package","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-tektoniektype.0.1.0",,,,,,"Codelijst tektoniektype, Jar maven package.","omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-tektoniektype.0.1.0","2024-01-02",,,,"ovo:OVO003751",,"Codelijst tektoniektype in jar-formaat.",,"Package codelijst-tektoniektype",,,,"access_right:PUBLIC",,,,,,,,"file_type:JAR",,,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-tektoniektype/0.1.0/codelijst-tektoniektype-0.1.0.jar",,"https://repo.omgeving.vlaanderen.be/artifactory/release/be/vlaanderen/bodemenondergrond/data/id/graph/codelijst-tektoniektype/0.1.0/codelijst-tektoniektype-0.1.0.jar","codelijst-tektoniektype-0.1.0.jar","be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-tektoniektype","0.1.0"
"V0.1.1-DATASET","omg_dataset:codelijst-tektoniektype.0.1.1","dcat:Dataset","be.vlaanderen.bodemenondergrond.data.id.dataset.codelijst-tektoniektype.0.1.1","nl",,"omg_dataset:codelijst-tektoniektype",,"Dataset codelijst tektoniektype","Deze dataset bevat een lijst van testconcepten, die gebruikt worden binnen het beleidsdomein bodemenondergrond van de Vlaamse Overheid.","omg_dataset:codelijst-tektoniektype.0.1.1","2023-09-21","language:NLD","http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0","ovo:OVO003323","ovo:OVO003751","country:BEL|https://www.geonames.org/3337388/flanders","Codelijst tektoniektype","omg_conceptscheme:tektoniektype","Codelijst tektoniektype (0.1.1)","0.1.1","omg_vcard:helpdesk",,"access_right:PUBLIC","https://data.bodemenondergrond.vlaanderen.be/doc/catalog/codelijst.html",,"https://data.bodemenondergrond.vlaanderen.be/doc/dataset/codelijst-tektoniektype.0.1.1.html","frequency:IRREG","omg_periodoftime:dataset_omg","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_csv|omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_jsonld|omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_rdf|omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_ttl|omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_xsd|omg_package:be.vlaanderen.bodemenondergrond.data.id.graph.codelijst-tektoniektype.0.1.1","datatheme_be:ENVI|datatheme_eu:ENVI|eurovoc:2407|gemet:10087",,,,,,,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_csv","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype_csv",,,,,,"Codelijst tektoniektype, geserialiseerd in csv tabelformaat.","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_csv","2023-09-21",,,,"ovo:OVO003751",,"Codelijst tektoniektype in text/csv formaat.",,"Codelijst tektoniektype, in text/csv formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.1.tektoniektype_csv.html",,,,,"file_type:CSV","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype.csv","https://www.iana.org/assignments/media-types/text/csv",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_jsonld","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype_jsonld",,,,,,"Codelijst tektoniektype, geserialiseerd in een jsonld bestand.","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_jsonld","2023-09-21",,,,"ovo:OVO003751",,"Codelijst tektoniektype in jsonld rdf-formaat.",,"Codelijst tektoniektype, in jsonld rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.1.tektoniektype_jsonld.html",,,,,"file_type:JSON_LD","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype.jsonld","https://www.iana.org/assignments/media-types/application/ld+json",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_rdf","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype_rdf",,,,,,"Codelijst tektoniektype, geserialiseerd in rdf/xml bestand.","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_rdf","2023-09-21",,,,"ovo:OVO003751",,"Codelijst tektoniektype in xml rdf-formaat.",,"Codelijst tektoniektype, in xml rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.1.tektoniektype_rdf.html",,,,,"file_type:RDF_XML","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype.rdf","https://www.iana.org/assignments/media-types/application/rdf+xml",,,,
"V0.1.1-DISTRIB","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_ttl","dcat:Distribution","be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype_ttl",,,,,,"Codelijst tektoniektype, geserialiseerd in Turtle bestand.","omg_distribution:codelijst-tektoniektype.0.1.1.tektoniektype_ttl","2023-09-21",,,,"ovo:OVO003751",,"Codelijst tektoniektype in Turtle rdf-formaat.",,"Codelijst tektoniektype, in Turtle rdf-formaat.",,,,"access_right:PUBLIC",,,"https://data.bodemenondergrond.vlaanderen.be/doc/distribution/codelijst-tektoniektype.0.1.1.tektoniektype_ttl.html",,,,,"file_type:RDF_TURTLE","https://github.com/bodemenondergrond/codelijst-tektoniektype.git","http://www.iana.org/assignments/media-types/application/gzip","https://datasets.bodemenondergrond.vlaanderen.be/be.vlaanderen.bodemenondergrond.data.id.distribution.codelijst-tektoniektype.0.1.1.tektoniektype.ttl","https://www.iana.org/assignments/media-types/text/turtle",,,,
