id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/br,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.br,"Een herkenbaar doorlopend vlak in het gesteente, waar het gesteente is opgebroken.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,BR,"Een herkenbaar doorlopend vlak in het gesteente, waar het gesteente is opgebroken.",breukvlak,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/ca,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.ca,Spleten in het gesteente (van diverse oorsprong) die opgevuld zijn met calciet.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,CA,Spleten in het gesteente (van diverse oorsprong) die opgevuld zijn met calciet.,calcietgevulde spleten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/di,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.di,Een spleet of breuk in het gesteente waarlangs geen of nauwelijkse beweging is opgetreden maar waar het gesteente uit elkaar is bewogen door extensieve spanning.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,DI,Een spleet of breuk in het gesteente waarlangs geen of nauwelijkse beweging is opgetreden maar waar het gesteente uit elkaar is bewogen door extensieve spanning.,diaklaas,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/gl,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.gl,"Een herkenbaar doorlopend vlak in het gesteente, waarlangs een verschuiving is opgetreden.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,GL,"Een herkenbaar doorlopend vlak in het gesteente, waarlangs een verschuiving is opgetreden.",glijvlak / verschuivingsvlak,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/on,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.on,Het tektoniektype werd niet bepaald.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,ON,Het tektoniektype werd niet bepaald.,onbepaald,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/pl,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.pl,"Een plooi in het gesteente die gevormd is aan het contact tussen de gesteentelagen en een verschuivingsvlak, door weerstand bij de beweging van gesteenten langsheen dit vlak.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,PL,"Een plooi in het gesteente die gevormd is aan het contact tussen de gesteentelagen en een verschuivingsvlak, door weerstand bij de beweging van gesteenten langsheen dit vlak.",plooiing (crochon),https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/sp,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.sp,"Een vlak in het gesteente gevormd door de oplijning van mineralen loodrecht op de overheersende drukrichting, bv. door diepe begraving (verticale druk) of gebergtevorming (laterale druk).",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,SP,"Een vlak in het gesteente gevormd door de oplijning van mineralen loodrecht op de overheersende drukrichting, bv. door diepe begraving (verticale druk) of gebergtevorming (laterale druk).",splijtingsvlak,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/st,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.st,Een onregelmatig vlak in het gesteente gevormd door de oplossing van materiaal loodrecht op de overheersende drukrichting en het achterblijven van onoplosbare mineralen. Vaak gevormd in (goed oplosbare) kalksteen.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,ST,Een onregelmatig vlak in het gesteente gevormd door de oplossing van materiaal loodrecht op de overheersende drukrichting en het achterblijven van onoplosbare mineralen. Vaak gevormd in (goed oplosbare) kalksteen.,stylolieten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/zv,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.tektoniektype.zv,Fijne voegen in het gesteente opgevuld met zwart materiaal.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,ZV,Fijne voegen in het gesteente opgevuld met zwart materiaal.,fijne zwarte voegen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,null
https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/tektoniektype,http://www.w3.org/2004/02/skos/core#ConceptScheme,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.tektoniektype,null,null,null,null,lijst van tektoniektypes,null,https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/br|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/ca|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/di|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/gl|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/on|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/pl|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/sp|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/st|https://data.bodemenondergrond.vlaanderen.be/id/concept/tektoniektype/zv
